,Price,Category,Beds,Baths,Area,Plot_size,Address,Broker,URL
0,"$60,000",Condo for sale,2,2,"1,220sqft
1,220 square feet",,"10 Harbor Blvd Unit E404D, Destin, FL 32541",Brokered by Legendary Realty Llc,https://www.realtor.com/realestateandhomes-detail/10-Harbor-Blvd-E404D_Destin_FL_32541_M91766-32396?from=srp-list-card
1,"$381,000",House for sale,4,3,"1,926sqft
1,926 square feet","0.6acre lot
0.6 acre lot","17561 SW 40 Ct, Ocala, FL 34473",Brokered by Keller Williams Classic Realty,https://www.realtor.com/realestateandhomes-detail/Tbs-Sw-40-Ct_Ocala_FL_34473_M91077-46684?from=srp-list-card
2,"$70,000",Condo for sale,2,2,"1,100sqft
1,100 square feet",,"617 Front /Week 49 St Unit A54, Key West, FL 33040",Brokered by Exit Realty of Naples,https://www.realtor.com/realestateandhomes-detail/617-Front-St-Fl_Key-West_FL_33040_M95768-70426?from=srp-list-card
3,"$9,500",Mobile house for sale,2,2,,,"4020 68th Pl N Unit 827, West Palm Beach, FL 33404",Brokered by American National Homes LLC,https://www.realtor.com/realestateandhomes-detail/4020-68th-Pl-N-827_West-Palm-Beach_FL_33404_M92579-15212?from=srp-list-card
4,"$1,185,000",Coming Soon,4,3,"2,810sqft
2,810 square feet","0.5acre lot
0.5 acre lot","5307 Solway Dr, Melbourne Beach, FL 32951",Brokered by ONE Sotheby's International Realty,https://www.realtor.com/realestateandhomes-detail/5307-Solway-Dr_Melbourne-Beach_FL_32951_M65480-84942?from=srp-list-card
5,"$385,000",Coming Soon,2,1.5,"912sqft
912 square feet","365sqft lot
365 square foot lot","348 Perry Ave, Greenacres, FL 33463",Brokered by Illustrated Properties,https://www.realtor.com/realestateandhomes-detail/348-Perry-Ave_Greenacres_FL_33463_M93186-13525?from=srp-list-card
6,"$257,990",Townhouse for sale,2,2.5,"1,442sqft
1,442 square feet",,"278 Redbud Rd, Palm Coast, FL 32137",Built by D.R. Horton - Jacksonville South,https://www.realtor.com/realestateandhomes-detail/278-Redbud-Rd_Palm-Coast_FL_32137_M93701-45009
7,"$501,990",House for sale,4,3,"2,108sqft
2,108 square feet",,"3540 Keyworth St, Apopka, FL 32712",Built by D.R. Horton - Orlando South,https://www.realtor.com/realestateandhomes-detail/3540-Keyworth-St_Apopka_FL_32712_M94791-69396
8,"$268,485",House for sale,3,2.5,"1,707sqft
1,707 square feet",,"2222 Windward Cay Ln, Middleburg, FL 32068",Built by Lennar,https://www.realtor.com/realestateandhomes-detail/2222-Windward-Cay-Ln_Middleburg_FL_32068_M95838-28564
9,"$258,990",Townhouse for sale,2,2.5,"1,442sqft
1,442 square feet",,"453 Redbud Rd, Palm Coast, FL 32137",Built by D.R. Horton - Jacksonville South,https://www.realtor.com/realestateandhomes-detail/453-Redbud-Rd_Palm-Coast_FL_32137_M92652-89943
