Price($),Category,Bedrooms,Bathrooms,Area(sqft),Plot_size(sqft),Address,Broker,URL,ZIP,Place_name
60000.0,Condo,2,2,1220.0,,"10 Harbor Blvd Unit E404D, Destin, FL 32541",Legendary Realty Llc,https://www.realtor.com/realestateandhomes-detail/10-Harbor-Blvd-E404D_Destin_FL_32541_M91766-32396?from=srp-list-card,32541.0,Destin
381000.0,House,4,3,1926.0,26136.0,"17561 SW 40 Ct, Ocala, FL 34473",Keller Williams Classic Realty,https://www.realtor.com/realestateandhomes-detail/Tbs-Sw-40-Ct_Ocala_FL_34473_M91077-46684?from=srp-list-card,34473.0,Ocala
70000.0,Condo,2,2,1100.0,,"617 Front /Week 49 St Unit A54, Key West, FL 33040",Exit Realty of Naples,https://www.realtor.com/realestateandhomes-detail/617-Front-St-Fl_Key-West_FL_33040_M95768-70426?from=srp-list-card,33040.0,Key West
9500.0,Mobile house,2,2,,,"4020 68th Pl N Unit 827, West Palm Beach, FL 33404",American National Homes LLC,https://www.realtor.com/realestateandhomes-detail/4020-68th-Pl-N-827_West-Palm-Beach_FL_33404_M92579-15212?from=srp-list-card,33404.0,West Palm Beach
1185000.0,Coming Soon,4,3,2810.0,21780.0,"5307 Solway Dr, Melbourne Beach, FL 32951",ONE Sotheby's International Realty,https://www.realtor.com/realestateandhomes-detail/5307-Solway-Dr_Melbourne-Beach_FL_32951_M65480-84942?from=srp-list-card,32951.0,Melbourne Beach
385000.0,Coming Soon,2,1.5,912.0,365.0,"348 Perry Ave, Greenacres, FL 33463",Illustrated Properties,https://www.realtor.com/realestateandhomes-detail/348-Perry-Ave_Greenacres_FL_33463_M93186-13525?from=srp-list-card,33463.0,Lake Worth
257990.0,Townhouse,2,2.5,1442.0,,"278 Redbud Rd, Palm Coast, FL 32137",D.R. Horton - Jacksonville South,https://www.realtor.com/realestateandhomes-detail/278-Redbud-Rd_Palm-Coast_FL_32137_M93701-45009,32137.0,Palm Coast
501990.0,House,4,3,2108.0,,"3540 Keyworth St, Apopka, FL 32712",D.R. Horton - Orlando South,https://www.realtor.com/realestateandhomes-detail/3540-Keyworth-St_Apopka_FL_32712_M94791-69396,32712.0,Apopka
268485.0,House,3,2.5,1707.0,,"2222 Windward Cay Ln, Middleburg, FL 32068",Lennar,https://www.realtor.com/realestateandhomes-detail/2222-Windward-Cay-Ln_Middleburg_FL_32068_M95838-28564,32068.0,Middleburg
258990.0,Townhouse,2,2.5,1442.0,,"453 Redbud Rd, Palm Coast, FL 32137",D.R. Horton - Jacksonville South,https://www.realtor.com/realestateandhomes-detail/453-Redbud-Rd_Palm-Coast_FL_32137_M92652-89943,32137.0,Palm Coast
695990.0,House,4,3.5,3126.0,,"7746 Hemlock Seed Dr, Wesley Chapel, FL 33545",M/I Homes,https://www.realtor.com/realestateandhomes-detail/7746-Hemlock-Seed-Dr_Wesley-Chapel_FL_33545_M93388-97442,33545.0,Wesley Chapel
279990.0,Townhouse,3,2.5,1673.0,,"3503 White Dandelion Ct, Plant City, FL 33565",D.R. Horton - Tampa South,https://www.realtor.com/realestateandhomes-detail/3503-White-Dandelion-Ct_Plant-City_FL_33565_M90097-42677,33565.0,Plant City
320555.0,Townhouse,2,2,1608.0,,"2628 Kinsale Ln, Ormond Beach, FL 32174",D.R. Horton - Orlando North,https://www.realtor.com/realestateandhomes-detail/2628-Kinsale-Ln_Ormond-Beach_FL_32174_M94946-98264,32174.0,Ormond Beach
295990.0,House,4,2,1828.0,,"2710 Trinidad Rd, Haines City, FL 33844",D.R. Horton - Polk,https://www.realtor.com/realestateandhomes-detail/2710-Trinidad-Rd_Haines-City_FL_33844_M98900-90010,33844.0,Haines City
419990.0,House,3,2.5,2292.0,,"2822 Misty Marble Dr, Zephyrhills, FL 33540",M/I Homes,https://www.realtor.com/realestateandhomes-detail/2822-Misty-Marble-Dr_Zephyrhills_FL_33540_M92121-76591,33540.0,Zephyrhills
379990.0,House,4,2,1896.0,,"34826 Mulrion-Homesite Dr # 14, Zephyrhills, FL 33541",William Ryan Homes,https://www.realtor.com/realestateandhomes-detail/34826-Mulrion-Dr_Zephyrhills_FL_33541_M93303-47725,33541.0,Zephyrhills
284485.0,House,3,2.5,1782.0,,"2246 Windward Cay Ln, Middleburg, FL 32068",Lennar,https://www.realtor.com/realestateandhomes-detail/2246-Windward-Cay-Ln_Middleburg_FL_32068_M97068-34178,32068.0,Middleburg
585000.0,House,4,2,1828.0,,"6661 SE Park Trace Dr, Stuart, FL 34997",D.R. Horton - Southeast Florida,https://www.realtor.com/realestateandhomes-detail/6661-SE-Park-Trace-Dr_Stuart_FL_34997_M92274-75642,34997.0,Stuart
